Date,open,high,low,close,volume,daily_return,volatility,ma_50,ma_200,open_outlier,high_outlier,low_outlier,close_outlier,price_consistency
7/5/2022,176.28,185.92,172.68,185.88,7339023,3.3,3.89,187.3064,433.57205,FALSE,FALSE,FALSE,FALSE,TRUE
7/6/2022,185.2,186.22,180.82,184.06,5753385,-0.98,3.89,186.6772,431.5456,FALSE,FALSE,FALSE,FALSE,TRUE
7/7/2022,184.27,190.21,183.5,189.27,6334545,2.83,3.95,186.2644,429.6148,FALSE,FALSE,FALSE,FALSE,TRUE
7/8/2022,186.02,189.91,182.75,186.98,5835680,-1.21,3.91,186.0359,427.683975,FALSE,FALSE,FALSE,FALSE,TRUE
7/11/2022,184.73,184.99,176.89,177.34,6048447,-5.15,3.93,185.8119,425.617425,FALSE,FALSE,FALSE,FALSE,TRUE
7/12/2022,177.33,179.78,173.42,174.45,6845264,-1.63,3.78,185.3105,423.523375,FALSE,FALSE,FALSE,FALSE,TRUE
7/13/2022,170.5,179.18,169.7,176.56,12734421,1.21,3.4,185.0345,421.444225,FALSE,FALSE,FALSE,FALSE,TRUE
7/14/2022,175.56,177.52,171.82,174.78,9039457,-1.01,3.39,184.5409,419.354925,FALSE,FALSE,FALSE,FALSE,TRUE
7/15/2022,175.58,189.22,174.56,189.11,16319116,8.2,3.48,184.3257,417.381225,FALSE,FALSE,FALSE,FALSE,TRUE
7/18/2022,192.5,199.67,189.8,190.92,16322845,0.96,3.34,184.0639,415.340525,FALSE,FALSE,FALSE,FALSE,TRUE
7/19/2022,193.02,201.97,188.4,201.63,28178716,5.61,3.53,184.3301,413.296975,FALSE,FALSE,FALSE,FALSE,TRUE
7/20/2022,208.17,216.97,200.1,216.44,53920266,7.35,3.73,185.0395,411.313425,FALSE,FALSE,FALSE,FALSE,TRUE
7/21/2022,214.3,224.32,211.5,223.88,23430117,3.44,3.68,186.0551,409.416075,FALSE,FALSE,FALSE,FALSE,TRUE
7/22/2022,222.38,229.35,218.44,220.44,17805452,-1.54,3.72,186.9107,407.344225,FALSE,FALSE,FALSE,FALSE,TRUE
7/25/2022,221.31,225.23,216.35,218.51,10935247,-0.88,3.62,187.9535,405.241275,FALSE,FALSE,FALSE,FALSE,TRUE
7/26/2022,216.66,219.39,211.64,213.91,9508532,-2.11,3.66,188.7455,403.151575,FALSE,FALSE,FALSE,FALSE,TRUE
7/27/2022,216.48,227.78,214.58,226.75,10508385,6,3.59,189.5277,401.122025,FALSE,FALSE,FALSE,FALSE,TRUE
7/28/2022,224.6,228.1,219.67,226.02,8972738,-0.32,3.58,190.3179,399.116925,FALSE,FALSE,FALSE,FALSE,TRUE
7/29/2022,223.29,230.75,222.4,224.9,9064937,-0.5,3.52,191.0047,397.116725,FALSE,FALSE,FALSE,FALSE,TRUE
8/1/2022,223.1,228.39,221,226.21,5525044,0.58,3.51,191.9851,395.098975,FALSE,FALSE,FALSE,FALSE,TRUE
8/2/2022,222.76,228.2,220.88,221.42,6361327,-2.12,3.54,192.7439,393.037075,FALSE,FALSE,FALSE,FALSE,TRUE
8/3/2022,224.79,228.1,222.42,226.73,6400701,2.4,3.53,193.5515,391.029275,FALSE,FALSE,FALSE,FALSE,TRUE
8/4/2022,227.68,232.07,225.05,229.91,7142741,1.4,3.51,194.4009,388.988975,FALSE,FALSE,FALSE,FALSE,TRUE
8/5/2022,225.3,228.62,222.87,226.78,5539733,-1.36,3.51,195.3297,386.927875,FALSE,FALSE,FALSE,FALSE,TRUE
8/8/2022,227.49,241.96,226.41,233.49,10997409,2.96,3.22,196.2429,384.969625,FALSE,FALSE,FALSE,FALSE,TRUE
8/9/2022,231.62,232.2,224.65,229.94,6181194,-1.52,3.21,197.0137,382.853525,FALSE,FALSE,FALSE,FALSE,TRUE
